root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800202,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800203,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800204,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800205,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800206,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800207,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800208,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800209,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800210,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800211,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800212,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800213,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800214,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800215,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800216,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800217,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800218,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800219,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800220,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800221,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800222,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800223,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800224,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800225,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800226,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800227,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800228,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800229,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800230,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800231,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800232,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800233,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800234,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800235,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800236,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800237,CONTINUE,80,FIXED_L80,True
